"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 19:39:03 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","30","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPatchMethodTest","updateUserWithPatchMethodTest()","Scenario 1: Update user using patch method"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","7","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithOnlyRequiredFieldsTest","createUserWithOnlyRequiredFieldsTest()","Scenario #2: Create user with only required fields"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","13","","Task20.ZipCodesTest","","Task20.ZipCodesTest","addZipCodeTest","addZipCodeTest()","Scenario #2: Add valid Zip Code"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","12","","Task20.ZipCodesTest","","Task20.ZipCodesTest","getAllAvailableZipCodeTest","getAllAvailableZipCodeTest()","Scenario #1: Get the list of all available Zip Codes"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","14","","Task20.ZipCodesTest","","Task20.ZipCodesTest","duplicateValidationInZipCodeListTest","duplicateValidationInZipCodeListTest()","Scenario #3: Add duplicated Zip Codes which don't exist in the Zip Codes list"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","13","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()","Scenario #3: Create user with unavailable zip code"
"passed","Sun Feb 11 19:39:03 GMT 2024","Sun Feb 11 19:39:03 GMT 2024","25","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithoutNameTest","updateUserWithoutNameTest()","Scenario 3: Update user without name"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","22","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithAllFieldsTest","createUserWithAllFieldsTest()","Scenario #1: Create user with all fields"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","9","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersByFemaleSexTest","filterUsersByFemaleSexTest()","Scenario 3: Filter users by sex (Female) parameter"
"passed","Sun Feb 11 19:39:03 GMT 2024","Sun Feb 11 19:39:03 GMT 2024","17","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithUnavailableZipCodeTest","updateUserWithUnavailableZipCodeTest()","Scenario 2: Update user with unavailable zip code"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","19","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutSexTest","deleteUserWithoutSexTest()","Scenario 3: Delete user without sex"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","14","","Task20.ZipCodesTest","","Task20.ZipCodesTest","duplicationsAlreadyExistInZipCodeListTest","duplicationsAlreadyExistInZipCodeListTest()","Scenario #3: Add duplicated Zip Codes which already exist in the Zip Codes list"
"passed","Sun Feb 11 19:39:04 GMT 2024","Sun Feb 11 19:39:04 GMT 2024","10","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersOlderThanTest","filterUsersOlderThanTest()","Scenario #1: Filter users by older than parameter"
"passed","Sun Feb 11 19:39:03 GMT 2024","Sun Feb 11 19:39:03 GMT 2024","33","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPutMethodTest","updateUserWithPutMethodTest()","Scenario 1: Update user using put method"
